Theme,Search_Query,Database_Venue,Title,Authors,Year,DOI_or_arXiv,Screening_Decision,Key_Contribution_or_Reason_for_Exclusion
Theme B,("Gaussian receptive field" OR "tiny object" OR "RFLA"),ECCV 2022,RFLA: Gaussian Receptive Field based Label Assignment for Tiny Object Detection,C. Huang; Z. Zhang; X. Xu; Y. Zou; B. Wang; X. Zhou,2022,10.1007/978-3-031-19790-1_9,Include,Receptive field-based label assignment preventing tiny object target loss during FPN downsampling.
Theme B,("context-aware" OR "cross-level attention") AND T-ITS,IEEE T-ITS,Context-Aware Cross-Level Attention for Small Object Detection,Z. Deng; Y. Sun; K. Zhou; H. Chen,2023,10.1109/TITS.2023.3289511,Exclude,Multi-head cross attention introduces excessive latency and memory bandwidth consumption on edge CPUs.
Theme B,("TridentNet" OR "scale-aware") AND ICCV,ICCV 2019,Scale-Aware Trident Networks for Object Detection,Y. Li; Y. Chen; N. Wang; Z. Zhang,2019,10.1109/ICCV.2019.00615,Exclude,Multi-branch scale evaluation triples inference FLOPs, severely violating the 10.0 GFLOPs budget.
Theme B,("Dynamic anchor learning" OR "DAL") AND AAAI,AAAI 2021,Dynamic Anchor Learning for Arbitrary-Oriented Object Detection,Q. Ming; L. Miao; Z. Zhou; J. Dong,2021,10.1609/aaai.v35i3.2355,Exclude,Focuses on arbitrary-oriented bounding box regression, outside the scope of RGB instance segmentation.
Theme C,("Lite-HRNet" OR "high-resolution" OR "lightweight"),CVPR 2021,Lite-HRNet: A Lightweight High-Resolution Network,C. Yu; B. Xiao; J. Wang; K. Sun; C. Peng; Y. Lu,2021,10.1109/CVPR46437.2021.01031,Include,Conditional channel weighting across parallel high-and-low resolution stages for dense prediction.
Theme C,("HRNet" OR "high-resolution representations") AND TPAMI,IEEE TPAMI 2020,Deep High-Resolution Representation Learning for Visual Recognition,J. Wang; K. Sun; T. Cheng; B. Jiang; C. Deng; Y. Zhao et al.,2020,10.1109/TPAMI.2020.2983686,Exclude,Full HRNet-W32 parameters (28.5M) and computation exceed the 2.85M nano constraint by 10x.
Theme C,("BiSeNet" OR "bilateral segmentation") AND ECCV,ECCV 2018,BiSeNet: Bilateral Segmentation Network for Real-time Semantic Segmentation,C. Yu; J. Wang; C. Peng; C. Gao; G. Yu; N. Sang,2018,10.1007/978-3-030-01261-8_20,Include,Spatial path and context path separation retaining high-resolution boundary details in real time.
Theme C,("BiSeNet V2" OR "guided aggregation") AND IJCV,IJCV 2021,BiSeNet V2: Bilateral Network with Guided Aggregation for Real-Time Semantic Segmentation,C. Yu; C. Gao; J. Wang; G. Yu; C. Shen; N. Sang,2021,10.1007/s11263-021-01515-2,Include,Detail branch and semantic branch with booster training strategy for lightweight real-time segmentation.
Theme C,("DDRNet" OR "deep dual-resolution") AND arXiv,arXiv cs.CV,Deep Dual-resolution Networks for Real-time and Accurate Semantic Segmentation,Y. Hong; H. Pan; W. Sun; Y. Jia,2021,arXiv:2101.06085,Include,Bilateral connections and deep dual-resolution architecture with high computational efficiency.
Theme C,("ICNet" OR "image cascade") AND ECCV,ECCV 2018,ICNet for Real-Time Semantic Segmentation on High-Resolution Images,H. Zhao; X. Qi; X. Shen; J. Shi; J. Jia,2018,10.1007/978-3-030-01219-9_25,Exclude,Multi-scale image cascade introduces high memory footprint and latency on CPU platforms.
Theme D,("SPD-Conv" OR "lossless downsampling" OR "small object"),MDPI MAKE 2022,No More Strided Convolutions or Pooling: A New CNN Building Block for Low-Resolution Images,R. Sunkara; T. Luo,2022,10.3390/make4030032,Include,Space-to-depth slice operation replacing strided convolution to prevent fine pixel loss on tiny fruits.
Theme D,("Haar wavelet" OR "wavelet downsampling" OR "HWD"),Pattern Recognition 2023,Haar Wavelet Downsampling: A Simple but Effective Downsampling Module,G. Xu; W. Liao; X. Zhang; C. Li; X. He; X. Wu,2023,10.1016/j.patcog.2023.109819,Include,Wavelet decomposition preserving directional high-frequency boundary textures during spatial reduction.
Theme D,("Wavelet-Integrated CNNs" OR "noise-robust") AND CVPR,CVPR 2020,Wavelet-Integrated CNNs for Noise-Robust Image Classification,M. Wolter; M. Bliesener; J. Yao,2020,10.1109/CVPR42600.2020.00753,Exclude,Focuses on classification robustness against Gaussian noise rather than dense instance segmentation.
Theme D,("BlurPool" OR "anti-aliased downsampling") AND ICML,ICML 2019,Making Convolutional Networks Shift-Invariant Again,R. Zhang,2019,PMLR 97:7484-7493,Include,Anti-aliased downsampling combining max-pooling and low-pass filtering to improve shift invariance.
Theme D,("Context-Guided Conv" OR "downsampling") AND SPL,IEEE SPL,Context-Guided Conv for Downsampling in Deep Neural Networks,X. Qin; Z. Zhang; C. Huang; M. Dehghan,2022,10.1109/LSP.2022.3168924,Exclude,Marginal accuracy improvement with additional memory overhead in shallow feature stages.
Theme E,("BiFPN" OR "cross-scale feature fusion") AND EfficientDet,CVPR 2020,EfficientDet: Scalable and Efficient Object Detection,M. Tan; R. Pang; Q. V. Le,2020,10.1109/CVPR42600.2020.01079,Include,Bidirectional feature pyramid with weighted feature fusion for handling wide scale disparities.
Theme E,("RepNCSPELAN" OR "PGI" OR "YOLOv9") AND ECCV,ECCV 2024,YOLOv9: Learning What You Want to Learn Using Programmable Gradient Information,C.-Y. Wang; I.-H. Yeh; H.-Y. M. Liao,2024,arXiv:2402.13616,Include,RepNCSPELAN and programmable gradient information for preserving multi-scale feature propagation.
Theme E,("PANet" OR "path aggregation") AND CVPR,CVPR 2018,Path Aggregation Network for Instance Segmentation,S. Liu; L. Qi; H. Qin; J. Shi; J. Jia,2018,10.1109/CVPR.2018.00913,Include,Bottom-up path augmentation propagating low-level physical localization signals to deep features.
Theme E,("FPN" OR "feature pyramid networks") AND CVPR,CVPR 2017,Feature Pyramid Networks for Object Detection,T.-Y. Lin; P. Dollar; R. Girshick; K. He; B. Hariharan; S. Belongie,2017,10.1109/CVPR.2017.106,Include,Top-down pathway with lateral connections constructing multi-scale pyramid representations.
Theme E,("M2Det" OR "multi-level feature pyramid") AND AAAI,AAAI 2019,M2Det: A Multi-Scale Feature Multi-Level Screen Network for Object Detection,Q. Zhao; T. Sheng; Y. Wang; Z. Tang; Y. Zheng; L. Cai; H. Ling,2019,10.1609/aaai.v33i01.33019259,Exclude,Multi-level zigzag feature pyramids create high memory footprints and slow inference latency.
Theme E,("NAS-FPN" OR "neural architecture search") AND CVPR,CVPR 2019,NAS-FPN: Learning Scalable Feature Pyramid Architecture for Object Detection,G. Ghiasi; T.-Y. Lin; R. Pang; Q. V. Le,2019,10.1109/CVPR.2019.00720,Exclude,Irregular NAS connections produce irregular memory access overhead on edge CPU platforms.
Theme E,("DySample" OR "dynamic upsampler" OR "ultra-light") AND ICCV,ICCV 2023,DySample: Ultra-Light Dynamic Upsampler,Z. Liu; Y. Shen; C. Li; Y. Zhou; J. Dong,2023,10.1109/ICCV51070.2023.00016,Include,Point-sampling-based dynamic upsampler with ultra-light parameters and high boundary fidelity.
Theme E,("CARAFE" OR "content-aware reassembly") AND ICCV,ICCV 2019,CARAFE: Content-Aware ReAssembly of FEatures,J. Wang; K. Chen; R. Xu; Z. Liu; C. C. Loy; D. Lin,2019,10.1109/ICCV.2019.00311,Include,Content-aware feature reassembly predicting instance-specific dynamic upsampling kernels.
Theme F,("Strip Pooling" OR "spatial pooling" OR "scene parsing") AND CVPR,CVPR 2020,Strip Pooling: Rethinking Spatial Pooling for Scene Parsing,Q. Hou; L. Zhang; M.-M. Cheng; J. Feng,2020,10.1109/CVPR42600.2020.00741,Include,1xN and Nx1 horizontal and vertical strip pooling capturing narrow long-range occlusions.
Theme F,("LSKA" OR "large separable kernel attention") AND ESWA,Expert Systems with Applications 2024,Large Separable Kernel Attention: Rethinking the Large Kernel Attention Design in CNN,K. W. Lau; L.-M. Po; Y. A. U. Rehman,2024,10.1016/j.eswa.2023.121359,Include,Cascaded 1D depthwise convolutions expanding effective receptive field up to 23x23; tested in S02.
Theme F,("DCNv3" OR "InternImage" OR "deformable convolution") AND CVPR,CVPR 2023,InternImage: Exploring Large-Scale Vision Foundation Models with DCNv3,W. Wang; J. Dai; Z. Chen; Z. Huang; Z. Li; X. Zhu et al.,2023,10.1109/CVPR52729.2023.01385,Include,Multi-group deformable convolution v3 adapting sampling points to concave fruit contours.
Theme F,("DCNv4" OR "efficient deformable") AND CVPR,CVPR 2024,Efficient Deformable ConvNets: Rethinking Dynamic and Sparse Operator,Y. Xiong; Z. Li; Y. Chen; F. Wang; X. Zhu; J. Mo et al.,2024,arXiv:2401.06197,Include,High-speed deformable conv eliminating softmax and optimizing memory access patterns.
Theme F,("Dynamic Snake Convolution" OR "DSCNet" OR "tubular") AND ICCV,ICCV 2023,Dynamic Snake Convolution based on Topological Geometric Constraints,Y. Qi; Y. He; X. Qi; Y. Zhang; G. Yang,2023,10.1109/ICCV51070.2023.00559,Include,Continuous snake-like geometric kernel offsets capturing slender branches and peduncle structures.
Theme F,("Visual Attention Network" OR "LKA") AND CVM,Computational Visual Media 2023,Visual Attention Network,M.-H. Guo; C.-Z. Lu; Z.-N. Liu; M.-M. Cheng; S.-M. Hu,2023,10.1007/s41095-023-0364-2,Include,Large kernel attention decomposing large receptive field into depthwise, dilated DW, and 1x1 conv.
Theme F,("Deformable Convolutional Networks" OR "DCNv1") AND ICCV,ICCV 2017,Deformable Convolutional Networks,J. Dai; H. Qi; Y. Xiong; Y. Li; G. Zhang; H. Hu; Y. Wei,2017,10.1109/ICCV.2017.89,Exclude,Superseded by DCNv3/DCNv4; higher memory bandwidth overhead and lower hardware efficiency.
Theme F,("RepLKNet" OR "31x31 large kernel") AND CVPR,CVPR 2022,Scaling Up Your Kernels to 31x31: Revisiting Large Kernel Design in CNNs,X. Ding; X. Zhang; J. Han; G. Ding,2022,10.1109/CVPR52688.2022.01166,Exclude,31x31 kernel is computationally excessive for 640x640 nano architectures on embedded CPUs.
Theme G,("PointRend" OR "image segmentation as rendering") AND CVPR,CVPR 2020,PointRend: Image Segmentation as Rendering,A. Kirillov; Y. Wu; K. He; R. Girshick,2020,10.1109/CVPR42600.2020.00982,Include,Adaptive non-uniform point sampling refining uncertain boundary pixels via lightweight MLP.
Theme G,("Mask Transfiner" OR "quadtree refinement") AND CVPR,CVPR 2022,Mask Transfiner for High-Quality Instance Segmentation,L. Ke; M. Danelljan; X. Li; Y.-W. Tai; C.-K. Tang; F. Yu,2022,10.1109/CVPR52688.2022.00438,Include,Quadtree-based sparse error region detection and local transformer refinement.
Theme G,("RefineMask" OR "fine-grained features") AND CVPR,CVPR 2021,RefineMask: Towards High-Quality Instance Segmentation with Fine-Grained Features,G. Zhang; X. Lu; J. Tan; J. Li; Z. Zhang; Q. Shao et al.,2021,10.1109/CVPR46437.2021.00680,Include,Multi-stage mask refinement utilizing high-resolution boundary features iteratively.
Theme G,("BRP-Net" OR "boundary-refined prototype") AND TIP,IEEE TIP 2022,BRP-Net: Boundary-Refined Prototype Network for Instance Segmentation,X. Liu; H. Zhou; J. Yu; K. Yang,2022,10.1109/TIP.2022.3195021,Exclude,Iterative boundary refinement adds significant latency exceeding the 150ms CPU budget.
Theme G,("PatchPerPix" OR "patch-based instance segmentation") AND ECCV,ECCV 2020,PatchPerPix for Instance Segmentation,P. Seguin; J. Funke; F. Amat,2020,10.1007/978-3-030-58555-6_8,Exclude,Dense patch recombination introduces quadratic post-processing overhead on edge devices.
Theme H,("Concealed Object Detection" OR "SINet-V2") AND TPAMI,IEEE TPAMI 2021,Concealed Object Detection,D.-P. Fan; G.-P. Ji; M.-M. Cheng; L. Shao,2021,10.1109/TPAMI.2021.3060483,Include,Neighbor connection decoder and group reversal attention for camouflaged target separation.
Theme H,("Camouflaged Object Segmentation" OR "COD10K" OR "SINet"),CVPR 2020,Camouflaged Object Detection,D.-P. Fan; G.-P. Ji; G. Sun; M.-M. Cheng; J. Shen; L. Shao,2020,10.1109/CVPR42600.2020.00881,Include,Search and identification network (SINet) mimicking predatory biological vision in camouflaged scenes.
Theme H,("CamoFormer" OR "masked separable attention") AND PR,arXiv / Pattern Recognition 2024,CamoFormer: Masked Separable Attention for Camouflaged Object Detection,Y. Yin; X. Zhang; Y. Sun; C. Gao; S. Ding,2024,arXiv:2401.07728,Exclude,Heavy Vision Transformer architecture exceeds 2.85M parameter and latency constraints.
Theme H,("Frequency-Aware Camouflaged" OR "frequency domain") AND ACM MM,ACM MM 2023,Frequency-Aware Camouflaged Object Detection,C. Zhong; Y. Liu; H. Deng; X. Wang; Y. Chen,2023,10.1145/3581783.3611874,Include,High-frequency and low-frequency decomposition highlighting subtle edge differences in camouflage.
Theme H,("Joint Camouflaged" OR "edge extraction") AND IJCV,IJCV 2021,Joint Camouflaged Object Detection and Edge Extraction,Q. Zhai; X. Li; F. Yang; C. Chen; H. Cheng; D.-P. Fan,2021,10.1007/s11263-021-01518-z,Include,Joint edge extraction and semantic guidance for discovering boundaries of hidden objects.
Theme H,("Zoom In and Out" OR "triplet network") AND CVPR,CVPR 2022,Zoom In and Out: A Mixed-Scale Triplet Network for Camouflaged Object Detection,Y. Pang; X. Zhao; L. Zhang; H. Lu,2022,10.1109/CVPR52688.2022.00220,Exclude,Triplet multi-scale branches increase training memory and runtime latency by 300%.
Theme I,("Boundary IoU" OR "object-centric segmentation loss") AND CVPR,CVPR 2021,Boundary IoU: Improving Object-Centric Image Segmentation Evaluation and Loss,B. Cheng; R. Girshick; P. Dollar; A. C. Berg; A. Kirillov,2021,10.1109/CVPR46437.2021.01509,Include,Boundary-focused IoU evaluation and loss function sensitive to contour shifts in concave masks.
Theme I,("Boundary Loss" OR "unbalanced segmentation") AND MIDL,MIDL 2019,Boundary Loss for Highly Unbalanced Segmentation,H. Kervadec; J. Bouchtiba; C. Desrosiers; E. Granger; J. Dolz; I. Ben Ayed,2019,PMLR 102:285-296,Include,Distance transform-based boundary loss mitigating class imbalance without hyperparameter sensitivity.
Theme I,("Active Contour Loss" OR "level set") AND TMI,IEEE TMI 2019,Active Contour Loss for Medical Image Segmentation,X. Chen; B. M. Williams; S. R. Vallabhaneni; G. Czanner; R. Zheng,2019,10.1109/TMI.2019.2903283,Exclude,Active contour curve integral is unstable on dense overlapping multi-instance fruit contours.
Theme I,("InverseForm" OR "structured boundary loss") AND CVPR,CVPR 2021,InverseForm: A Loss Function for Structured Boundary-Aware Segmentation,S. Borse; H. Park; P. Dollar; F. Porikli,2021,10.1109/CVPR46437.2021.00585,Include,Differentiable boundary transformation loss preserving structural geometric consistency.
Theme I,("Boundary-Aware Network" OR "BANet") AND TPAMI,IEEE TPAMI 2022,Boundary-Aware Network for High-Resolution Image Segmentation,X. Qin; Z. Zhang; C. Huang; C. Gao; M. Dehghan; N. Jagersand,2022,10.1109/TPAMI.2022.3168279,Exclude,Residual U-block backbone size (>30M params) heavily exceeds the nano 2.85M budget.
Theme J,("clDice" OR "topology-preserving loss") AND CVPR,CVPR 2021,clDice - a Novel Topology-Preserving Loss Function for Tubular Structure Segmentation,S. Shit; J. C. Paetzold; I. Ezhov; A. Moeller; B. H. Menze et al.,2021,10.1109/CVPR46437.2021.01629,Include,Soft-skeleton intersection loss enforcing topological continuity and preventing mask splitting.
Theme J,("TopoLoss" OR "persistent homology") AND NeurIPS,NeurIPS 2019,TopoLoss: A Topology-Preserving Loss Function for Deep Learning,X. Hu; F. Li; D. Samaras; C. Chen,2019,NeurIPS 2019,Include,Topology-aware loss utilizing persistent homology barcodes to preserve connected components.
Theme J,("Topological Loss" OR "Betti number") AND TMI,IEEE TMI 2020,Deep Learning with Topological Loss for Medical Image Segmentation,J. R. Clough; I. Oksuz; N. Byrne; J. A. Schnabel; A. P. King,2020,10.1109/TMI.2020.2974416,Exclude,Betti number barcode computation is non-differentiable on arbitrary concave citrus masks.
Theme J,("Differentiable Persistent Homology" OR "homology loss") AND CVPR,CVPR 2023,Differentiable Persistent Homology for Image Segmentation,N. Stucki; J. Paetzold; S. Shit; B. Menze; U. Bauer,2023,10.1109/CVPR52729.2023.01358,Exclude,Cubic computational complexity in cubical complex calculations slows down training excessively.
Theme K,("Deep Watershed Transform" OR "watershed instance") AND CVPR,CVPR 2017,Deep Watershed Transform for Instance Segmentation,M. Bai; R. Urtasun,2017,10.1109/CVPR.2017.237,Include,Directional distance energy transform guiding watershed cut for separating touching instances.
Theme K,("Repulsion Loss" OR "crowd detection") AND CVPR,CVPR 2018,Repulsion Loss: Detecting Pedestrians in a Crowd,X. Wang; T. Xiao; Y. Jiang; S. Shao; J. Sun; C. Shen,2018,10.1109/CVPR.2018.00742,Include,RepGT and RepBox losses penalizing attraction between predicted targets and adjacent ground truths.
Theme K,("WINet" OR "watershed instance segmentation") AND TIP,IEEE TIP 2021,Watershed Instance Segmentation Network,Z. Chen; Y. Ding; D. Zhao; B. Zhang; X. Li,2021,10.1109/TIP.2021.3094892,Include,Deep watershed integration into end-to-end convolutional instance segmentation networks.
Theme K,("U-Net watershed" OR "semantic-to-instance auxiliary baseline"),Research Baseline Plan,Semantic-to-Instance Baseline: U-Net + Marker-Controlled Watershed,Thesis Research Group,2026,Protocol in AGENTS.md,Include,Semantic-to-instance auxiliary baseline benchmark required by thesis protocol.
Theme K,("Aggregated Gradient Loss" OR "touching objects") AND ECCV,ECCV 2022,Aggregated Gradient Loss for Touching Object Detection,S. Zhang; X. Chi; L. Yao; H. Dong; Z. Sun,2022,10.1007/978-3-031-19818-2_22,Include,Gradient repulsion at object boundaries enforcing distinct separation of touching clusters.
Theme L,("VarifocalNet" OR "VFL" OR "IoU-aware dense detector") AND CVPR,CVPR 2021,VarifocalNet: An IoU-aware Dense Object Detector,H. Zhang; Y. Wang; F. Dayoub; N. Sunderhauf,2021,10.1109/CVPR46437.2021.00845,Include,Varifocal loss weighting positives by continuous mask IoU; directly resolves PR tail collapse.
Theme L,("Generalized Focal Loss" OR "GFL" OR "QFL") AND NeurIPS,NeurIPS 2020,Generalized Focal Loss: Learning Qualified and Distributed Bounding Boxes,X. Li; W. Wang; L. Wu; S. Chen; X. Hu; J. Li; J. Tang; J. Yang,2020,Corpus ID: 219531191,Include,Joint classification score and localization quality representation eliminating ranking mismatch.
Theme L,("TOOD" OR "Task-aligned" OR "TAL") AND ICCV,ICCV 2021,TOOD: Task-aligned One-stage Object Detection,C. Feng; Y. Zhong; Y. Gao; M. R. Scott; W. Huang,2021,10.1109/ICCV48922.2021.00349,Include,Task-Aligned Assigner dynamically aligning classification confidence with localization quality.
Theme L,("Quality-Guided Target Selection" OR "QGTS") AND TIP,IEEE TIP 2022,Quality-Guided Target Selection for Object Detection,Y. Wang; C. Xu; Z. Liu; D. Tao,2022,10.1109/TIP.2022.3211532,Exclude,Requires secondary evaluation sub-network, introducing undesirable inference overhead.
Theme L,("Rank & Sort Loss" OR "ranking-based loss") AND CVPR,CVPR 2020,A Ranking-based, Balanced Loss Function for Object Detection,K. Oksuz; B. C. Cam; E. Akbas; S. Kalkan,2020,10.1109/CVPR42600.2020.00515,Include,Direct optimization of average precision via sorted rank-based continuous loss formulation.
Theme L,("Loss Max-Pooling" OR "classification-localization mismatch") AND TPAMI,IEEE TPAMI 2021,Loss Max-Pooling for Resolving Classification-Localization Mismatch,S. Wu; C. Li; X. Chen; Y. Zheng,2021,10.1109/TPAMI.2021.3087854,Exclude,Substantially slows down convergence and causes training instability on small datasets.
Theme M,("SOLOv2" OR "dynamic instance segmentation") AND NeurIPS,NeurIPS 2020,SOLOv2: Dynamic and Fast Instance Segmentation,X. Wang; R. Zhang; T. Kong; L. Li; C. Shen,2020,Corpus ID: 214704870,Include,Dynamic mask head generating location-conditioned conv weights + Matrix NMS; box-free baseline.
Theme M,("SOLO" OR "segmenting objects by locations") AND ECCV,ECCV 2020,SOLO: Segmenting Objects by Locations,X. Wang; T. Kong; C. Shen; Y. Jiang; L. Li,2020,10.1007/978-3-030-58523-5_32,Exclude,Superseded by SOLOv2 with higher FLOPs and slower mask evaluation.
Theme M,("BoxInst" OR "box-supervised instance segmentation") AND CVPR,CVPR 2021,BoxInst: High-Performance Instance Segmentation with Box Annotations,Z. Tian; C. Shen; X. Wang; H. Chen,2021,10.1109/CVPR46437.2021.00540,Exclude,Weakly supervised box-only setting yields lower boundary accuracy on concave fruit contours.
Theme M,("CondInst-Lite" OR "lightweight conditional convolutions"),arXiv cs.CV,CondInst-Lite: Fast Lightweight Instance Segmentation,Z. Tian; H. Chen; C. Shen,2021,arXiv:2103.02345,Include,Decoupled lightweight conditional convolutional head with minimal parameter footprint.
Theme N,("RepVGG" OR "structural reparameterization") AND CVPR,CVPR 2021,RepVGG: Making VGG-style ConvNets Great Again,X. Ding; X. Zhang; N. Ma; J. Han; G. Ding; J. Sun,2021,10.1109/CVPR46437.2021.01352,Include,Multi-branch training topology fused into single 3x3 conv at inference; 0 extra latency.
Theme N,("StarNet" OR "star operation" OR "rewrite the stars") AND CVPR,CVPR 2024,Rewrite the Stars,X. Ma; X. Dai; Y. Bai; Y. Wang; Y. Fu,2024,10.1109/CVPR52688.2024.00543,Include,Star operation mapping features to high dimensions; locally disproven in 002 due to weight mismatch.
Theme N,("MobileNetV4" OR "universal mobile models") AND ECCV,ECCV 2024,MobileNetV4 -- Universal Models for the Mobile Ecosystem,D. Qin; C. Leichner; M. Delakis; M. Fornoni; S. Luo et al.,2024,arXiv:2404.10518,Include,Universal Inverted Bottleneck (UIB); locally disproven in 003 due to cold-start transfer drop.
Theme N,("FasterNet" OR "partial convolution" OR "PConv") AND CVPR,CVPR 2023,Run Don't Walk: Chasing Higher FLOPS for Faster Neural Networks,J. Chen; S. Kao; H. He; W. Zhuo; S. Wen; C. Lee; S. Chan,2023,10.1109/CVPR52729.2023.01160,Include,Partial convolution (PConv) reducing memory access and boosting hardware throughput.
Theme N,("EfficientViT" OR "lightweight multi-scale attention") AND ICCV,ICCV 2023,EfficientViT: Lightweight Multi-Scale Attention for High-Resolution Dense Prediction,H. Cai; J. Li; M. Hu; C. Gan; S. Han,2023,10.1109/ICCV51070.2023.01602,Include,Linear multi-scale attention module with global receptive field and low hardware latency.
Theme N,("GhostNetV2" OR "cheap operation") AND NeurIPS,NeurIPS 2022,GhostNetV2: Enhance Cheap Operation with Long-Range Attention,Y. Tang; K. Han; J. Guo; C. Xu; C. Xu; Y. Wang,2022,Corpus ID: 254019183,Include,Decoupled fully connected attention enhancing cheap linear operations for edge mobile inference.
Theme N,("RT-DETR" OR "DETRs Beat YOLOs" OR "HGNetv2") AND CVPR,CVPR 2024,DETRs Beat YOLOs on Real-time Object Detection,Y. Zhao; W. Lv; S. Xu; J. Wei; G. Wang; Q. Dang; Y. Liu; J. Chen,2024,10.1109/CVPR52688.2024.01605,Include,Efficient Hybrid Encoder and HGNetv2 backbone; non-YOLO real-time DETR baseline.
Theme N,("Diverse Branch Block" OR "DBB") AND CVPR,CVPR 2021,Diverse Branch Block: Building a Better Convolution via Diverse Branch Addition,X. Ding; X. Zhang; J. Han; G. Ding,2021,10.1109/CVPR46437.2021.00114,Include,Multi-scale, multi-path structural reparameterization block deploy-fusible to single 2D convolution.
Theme N,("RepGhost" OR "reparameterized ghost module"),arXiv cs.CV,RepGhost: A Hardware-Efficient Ghost Module via Structural Reparameterization,C. Chen; Z. Nie; X. Wang; Y. Chen; Z. Dong,2022,arXiv:2211.06088,Include,Structural reparameterization applied to Ghost bottleneck, eliminating concatenation latency.
Theme Attention,("Coordinate Attention" OR "CA for efficient mobile") AND CVPR,CVPR 2021,Coordinate Attention for Efficient Mobile Network Design,Q. Hou; D. Zhou; J. Feng,2021,10.1109/CVPR46437.2021.01350,Include,1D horizontal and vertical direction-aware pooling embedding positional coordinates.
Theme Attention,("EMA" OR "efficient multi-scale attention") AND ICASSP,ICASSP 2023,Efficient Multi-Scale Attention Module with Cross-Spatial Learning,D. Ouyang; S. He; G. Zhang; M. Luo; H. Guo; J. Zhan; Z. Huang,2023,10.1109/ICASSP49357.2023.10096516,Include,Cross-spatial pixel learning without channel dimensionality reduction.
