year,title,mechanism,primary_source,code,local_repo,transfer_decision
2022,"Mask Transfiner for High-Quality Instance Segmentation","Sparse quadtree refinement at error-prone points",https://openaccess.thecvf.com/content/CVPR2022/html/Ke_Mask_Transfiner_for_High-Quality_Instance_Segmentation_CVPR_2022_paper.html,https://github.com/SysCV/transfiner,MaskTransfiner,"Sparse refinement concept; full implementation too complex"
2021,"Boundary IoU: Improving Object-Centric Image Segmentation Evaluation","Boundary-sensitive IoU/AP",https://openaccess.thecvf.com/content/CVPR2021/html/Cheng_Boundary_IoU_Improving_Object-Centric_Image_Segmentation_Evaluation_CVPR_2021_paper.html,https://github.com/bowenc0221/boundary-iou-api,boundary-iou-api,"Evaluation metric, not architecture"
2020,"Panoptic-DeepLab: A Simple Strong and Fast Baseline for Bottom-Up Panoptic Segmentation","Center heatmap and per-pixel center offsets",https://openaccess.thecvf.com/content_CVPR_2020/html/Cheng_Panoptic-DeepLab_A_Simple_Strong_and_Fast_Baseline_for_Bottom-Up_Panoptic_CVPR_2020_paper.html,https://github.com/bowenc0221/panoptic-deeplab,,"Instance-separation field reference"
2019,"HoVer-Net: Simultaneous Segmentation and Classification of Nuclei","Horizontal/vertical distance fields for touching instances",https://doi.org/10.1016/j.media.2019.101563,https://github.com/vqdang/hover_net,,"Optional separator-field ablation"
2020,"CenterMask: Single Shot Instance Segmentation with Point Representation","Local shape plus global saliency",https://openaccess.thecvf.com/content_CVPR_2020/html/Wang_CenterMask_Single_Shot_Instance_Segmentation_With_Point_Representation_CVPR_2020_paper.html,,,"Evidence for separating local shape and global semantics"
2019,"Mask Scoring R-CNN","Mask-IoU quality calibration",https://openaccess.thecvf.com/content_CVPR_2019/html/Huang_Mask_Scoring_R-CNN_CVPR_2019_paper.html,https://github.com/zjhuang22/maskscoring_rcnn,maskscoring_rcnn,"Score calibration only after recall improves"
2021,"Rank & Sort Loss for Object Detection and Instance Segmentation","Ranking positives over negatives and sorting by localization quality",https://arxiv.org/abs/2107.11669,https://github.com/kemaloksuz/RankSortLoss,RankSortLoss,"Optional late-stage ranking ablation"
2021,"VarifocalNet: An IoU-aware Dense Object Detector","IoU-aware classification score",https://openaccess.thecvf.com/content/CVPR2021/html/Zhang_VarifocalNet_An_IoU-Aware_Dense_Object_Detector_CVPR_2021_paper.html,https://github.com/hyz-xmaster/VarifocalNet,VarifocalNet,"Box-quality ranking reference"
2022,"A Normalized Gaussian Wasserstein Distance for Tiny Object Detection","Distribution distance for tiny box assignment/NMS/loss",https://arxiv.org/abs/2110.13389,https://github.com/jwwangchn/NWD,NWD,"Implement assignment-level control; current regression-only version insufficient"
2022,"RFLA: Gaussian Receptive Field Based Label Assignment for Tiny Object Detection","Receptive-field-distance hierarchical label assignment",https://arxiv.org/abs/2208.08738,https://github.com/Chasel-Tsui/mmdet-rfla,,"Independent tiny-assignment experiment"
2022,"SparseInst: Sparse Instance Activation for Real-Time Instance Segmentation","Sparse instance activation and one-to-one assignment",https://openaccess.thecvf.com/content/CVPR2022/html/Cheng_Sparse_Instance_Activation_for_Real-Time_Instance_Segmentation_CVPR_2022_paper.html,https://github.com/hustvl/SparseInst,SparseInst,"Cross-family comparison/reference"
2019,"YOLACT: Real-time Instance Segmentation","Prototype masks plus instance coefficients",https://openaccess.thecvf.com/content_ICCV_2019/html/Bolya_YOLACT_Real-Time_Instance_Segmentation_ICCV_2019_paper.html,https://github.com/dbolya/yolact,yolact,"Foundation for prototype-head analysis"
2022,"Accurate Segmentation of Green Fruit Based on Optimized Mask R-CNN in Complex Orchard","MobileNetV3 and boundary patch refinement for green fruit",https://pmc.ncbi.nlm.nih.gov/articles/PMC9399748/,,,"Agricultural evidence; different fruit/data/protocol"
2022,"Polar-Net: Green Fruit Instance Segmentation in Complex Orchard Environment","Polar representation and multi-scale green fruit segmentation",https://pmc.ncbi.nlm.nih.gov/articles/PMC9796563/,,,"Domain comparison; not direct module source"
2025,"AI-based Framework for Early Detection and Segmentation of Green Citrus Fruits in Orchards","Cascade Mask R-CNN MViTv2-L and image slicing",https://doi.org/10.1016/j.atech.2025.100834,,,"High-accuracy upper-bound/domain evidence; too heavy for final method"
2026,"SOPSeg: Prompt-driven Small Object Instance Segmentation in Earth Observation","Region-adaptive magnification and edge-aware refinement",https://openaccess.thecvf.com/content/CVPR2026F/html/Wang_Prompt-driven_Small_Object_Instance_Segmentation_in_Earth_Observation_CVPRF_2026_paper.html,,,"Recent supporting evidence; remote-sensing prompted SAM not directly transferable"

