排名,模型名称,实验标识,所属系列/分类,改进部位,改进方向/设计意图,参数量(M),计算量(GFLOPs),训练轮次,训练耗时,核心超参数,Box Precision,Box Recall,Box mAP50,Box mAP50-95,Mask Precision,Mask Recall,Mask mAP50,Mask mAP50-95,相对基线Mask mAP增益(%),有效性梯队判定
19,G06 Faster+LSKA+BiFPN+P2B,06_yolo11n-seg-faster-lska-bifpn-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),Backbone/SPPF/Neck/Head,Faster 骨干 + LSKA + BiFPN 加权金字塔 + P2 边界头,3.059,14.26,300,1.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9219,0.7429,0.8273,0.7023,0.9243,0.7454,0.8271,0.6691,+4.83%,第一梯队 (强正收益/核心推荐)
20,F05 C3k2-Faster,F05_yolo11-seg-c3k2faster_300ep,特征提取块,Backbone/Neck C3k2,以 FasterNet (PConv 部分卷积) 替换 C3k2 瓶颈块,2.706,10.13,300,0.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8930,0.7569,0.8321,0.7057,0.8875,0.7655,0.8279,0.6691,+4.83%,第一梯队 (强正收益/核心推荐)
21,F11 CoordAtt,F11_yolo11-seg-coordatt_300ep,注意力机制,Backbone/Neck,嵌入坐标注意力机制 (Coordinate Attention),2.844,10.36,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9215,0.7498,0.8321,0.6927,0.9180,0.7469,0.8309,0.6690,+4.83%,第一梯队 (强正收益/核心推荐)
22,G05 Faster+FarFormer+CARAFE+P2B,05_yolo11n-seg-faster-farformer-carafe-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),Backbone/Transformer/Neck/Head,Faster 骨干 + FarFormer 全局注意力 + CARAFE + P2 边界头,3.780,41.44,300,2.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9186,0.7312,0.8246,0.7011,0.9222,0.7293,0.8225,0.6689,+4.82%,第一梯队 (强正收益/核心推荐)
23,N03 WT+RFB+BiFPN+P2B,20260821_03_wt_rfb_bifpn_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),Backbone/SPPF/Neck/Head,小波 WT 骨干 + RFB 感受野块 + BiFPN + P2 边界头,2.995,14.23,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8937,0.7398,0.8222,0.6961,0.8977,0.7436,0.8234,0.6688,+4.80%,第一梯队 (强正收益/核心推荐)
24,F63 C3k2-SXQ,F63_yolo11-seg-c3k2sxq_300ep,特征提取块,Backbone/Neck C3k2,以柑橘专用细粒度优化块 C3k2-SXQ 替换标准 C3k2,2.695,10.12,300,1.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9260,0.7510,0.8334,0.7036,0.9271,0.7520,0.8302,0.6683,+4.75%,第二梯队 (轻量高效型正收益)
25,F16 BiFPN,F16_yolo11-seg-bifpn_300ep,颈部特征融合,Neck PANet,以加权双向特征金字塔 (BiFPN) 替换传统 PANet,2.843,10.36,293,1.5h,"ep:293, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9252,0.7417,0.8363,0.7093,0.9252,0.7417,0.8311,0.6682,+4.74%,第二梯队 (轻量高效型正收益)
26,F06 C3k2-WT,F06_yolo11-seg-c3k2wt_300ep,特征提取块,Backbone/Neck C3k2,以小波变换前馈块 (Wavelet Transform Block) 替换 C3k2,2.729,10.17,300,0.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9051,0.7436,0.8282,0.7073,0.9068,0.7455,0.8256,0.6679,+4.71%,第二梯队 (轻量高效型正收益)
27,N06 Faster+HyperACE+BiFPN+P2B,20260821_06_faster_hyperace_bifpn_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),Backbone/Neck/Head,Faster 骨干 + HyperACE 自适应上下文 + BiFPN + P2 边界头,2.666,14.31,300,1.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9332,0.7350,0.8320,0.7003,0.9277,0.7369,0.8265,0.6661,+4.53%,第二梯队 (轻量高效型正收益)
28,F59 C3k2-LS,F59_yolo11-seg-c3k2ls_300ep,特征提取块,Backbone/Neck C3k2,以大核分离卷积 (Large-Separable Conv) 替换 C3k2,2.642,10.03,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9193,0.7407,0.8270,0.7004,0.9228,0.7436,0.8279,0.6657,+4.50%,第二梯队 (轻量高效型正收益)
29,G03 WT+LSKA+CARAFE+P2B,03_yolo11n-seg-wt-lska-carafe-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),Backbone/SPPF/Neck/Head,小波 WT 骨干 + LSKA + CARAFE + P2 边界头,3.223,14.57,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8921,0.7540,0.8199,0.6998,0.9032,0.7493,0.8205,0.6653,+4.46%,第二梯队 (轻量高效型正收益)
30,F04 HWDown,F04_yolo11-seg-hwd_300ep,下采样算子,Backbone Downsample,引入 Haar 小波下采样 (Haar Wavelet Downsample),2.577,9.70,300,1.6h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9364,0.7388,0.8263,0.6953,0.9355,0.7379,0.8235,0.6652,+4.44%,第二梯队 (轻量高效型正收益)
31,N08 SXQ+LSKA+CARAFE+P2B,20260821_08_sxq_lska_carafe_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),Backbone/SPPF/Neck/Head,C3k2-SXQ 骨干 + LSKA + CARAFE + P2 边界头,3.031,14.26,300,2.4h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8941,0.7493,0.8226,0.6956,0.8955,0.7493,0.8218,0.6639,+4.31%,第二梯队 (轻量高效型正收益)
32,F10 CBAM,F10_yolo11-seg-cbam_300ep,注意力机制,Backbone/Neck,嵌入卷积块注意力机制 (Channel + Spatial),2.847,10.36,300,0.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9154,0.7474,0.8276,0.6911,0.9123,0.7445,0.8224,0.6631,+4.24%,第二梯队 (轻量高效型正收益)
33,F03 SPDConv,F03_yolo11-seg-spdconv_300ep,下采样算子,Backbone Downsample,以 Space-to-Depth 卷积替换跨步卷积下采样,4.280,13.89,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8966,0.7474,0.8250,0.7017,0.8903,0.7427,0.8184,0.6631,+4.23%,第二梯队 (轻量高效型正收益)
34,G09 HWD+Faster+LSKA+CARAFE+P2B,09_yolo11n-seg-hwd-faster-lska-carafe-p2b_baseline_adamw_train_300ep_b16,GPT测试组(G系列),全架构协同,Haar 小波下采样 + Faster 骨干 + LSKA + CARAFE + P2 边界头,2.933,13.87,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9244,0.7312,0.8220,0.6946,0.9339,0.7271,0.8255,0.6625,+4.18%,第二梯队 (轻量高效型正收益)
35,F21 LIAM,F21_yolo11-seg-liam_300ep,光照鲁棒机制,Backbone/Neck,引入局部光照感知不变模块 (LIAM),2.843,10.36,300,1.6h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9128,0.7482,0.8218,0.6902,0.9027,0.7521,0.8187,0.6625,+4.17%,第二梯队 (轻量高效型正收益)
36,N01 HWD+Faster+LSKA+CARAFE+P2B,20260821_01_hw_faster_lska_carafe_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),全架构协同,Haar 小波下采样 + Faster 骨干 + LSKA + CARAFE + P2 边界头 (复跑),2.933,13.87,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9120,0.7350,0.8242,0.6938,0.9424,0.7178,0.8250,0.6625,+4.17%,第二梯队 (轻量高效型正收益)
37,F09 SimAM,F09_yolo11-seg-simam_300ep,注意力机制,Backbone/Neck,嵌入无参数三维注意力 (Simple Attention Module),2.843,10.36,300,0.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9253,0.7321,0.8274,0.6809,0.9264,0.7331,0.8266,0.6622,+4.14%,第二梯队 (轻量高效型正收益)
38,F12 ELA,F12_yolo11-seg-ela_300ep,注意力机制,Backbone/Neck,嵌入高效局部注意力 (Efficient Local Attention),2.843,10.36,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9232,0.7493,0.8257,0.6910,0.9220,0.7483,0.8219,0.6620,+4.12%,第二梯队 (轻量高效型正收益)
39,F13 CAA,F13_yolo11-seg-caa_300ep,注意力机制,Backbone/Neck,嵌入上下文锚点注意力 (Context Anchor Attention),2.853,10.49,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9557,0.7216,0.8245,0.6908,0.9557,0.7207,0.8234,0.6618,+4.10%,第二梯队 (轻量高效型正收益)
40,F22 CSFG,F22_yolo11-seg-csfg_300ep,跨尺度引导,Neck 特征交互,引入跨尺度特征引导模块 (CSFG),3.028,12.74,265,0.8h,"ep:265, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9478,0.7277,0.8294,0.6848,0.9495,0.7283,0.8286,0.6616,+4.09%,第二梯队 (轻量高效型正收益)
41,F40 HR-Stream,F40_yolo11-seg-hrstream_300ep,高分辨率特征流,Backbone/Neck,构建高分辨率特征保留分支 (High-Resolution Stream),2.927,11.67,300,1.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9230,0.7432,0.8288,0.6824,0.9266,0.7461,0.8274,0.6615,+4.08%,第二梯队 (轻量高效型正收益)
42,F07 C3k2-DWR,F07_yolo11-seg-c3k2dwr_300ep,特征提取块,Backbone/Neck C3k2,以膨胀残差块 (Dilation-wise Residual Block) 替换 C3k2,2.836,10.38,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9272,0.7388,0.8212,0.6910,0.9260,0.7379,0.8210,0.6602,+3.94%,第二梯队 (轻量高效型正收益)
43,F41 FreqDetail-PAN,F41_yolo11-seg-freqdetail-pan_300ep,频域特征金字塔,Neck 金字塔,引入频域细节增强 PAN 结构,3.020,12.79,300,1.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9180,0.7493,0.8278,0.6916,0.9168,0.7483,0.8241,0.6595,+3.88%,第二梯队 (轻量高效型正收益)
44,F08 EMA,F08_yolo11-seg-ema_300ep,注意力机制,Backbone/Neck,嵌入高效多尺度注意力机制 (EMA),2.843,10.42,300,0.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9128,0.7388,0.8200,0.6798,0.9124,0.7388,0.8175,0.6595,+3.87%,第二梯队 (轻量高效型正收益)
45,F55 MWCA,F55_yolo11-seg-mwca_300ep,小波交叉注意力,Neck/特征交互,引入多尺度小波交叉注意力机制 (MWCA),2.936,10.65,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9285,0.7417,0.8242,0.6827,0.9252,0.7427,0.8267,0.6591,+3.83%,第二梯队 (轻量高效型正收益)
46,F26 DFEM+LIAM,F26_yolo11-seg-dfem-liam_300ep,双模块复合,特征增强/光照,组合细节特征增强 (DFEM) 与局部光照模块 (LIAM),2.870,10.60,300,1.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9311,0.7302,0.8230,0.6814,0.9311,0.7302,0.8244,0.6587,+3.80%,第三梯队 (辅助正收益/单点增强)
47,F43 CitrusFar-V2,F43_yolo11-seg-citrusfar-v2_300ep,远场轻量网络,全网络轻量化,远场柑橘轻量化专用架构 V2,2.404,12.61,300,1.3h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9323,0.7352,0.8260,0.6759,0.9311,0.7348,0.8281,0.6582,+3.74%,第三梯队 (辅助正收益/单点增强)
48,F19 DFEM,F19_yolo11-seg-dfem_300ep,细节特征增强,Backbone P3 层,在浅层 P3 引入细节特征增强模块 (DFEM),2.870,10.60,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8958,0.7457,0.8209,0.6812,0.9219,0.7226,0.8168,0.6574,+3.66%,第三梯队 (辅助正收益/单点增强)
49,F48 CitrusFormer-Net,F48_yolo11-seg-citrusformer-net_300ep,柑橘专用 Transformer,全网络,构建柑橘专用 Transformer 混合网络架构,2.741,25.70,300,1.4h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9158,0.7493,0.8249,0.6749,0.9176,0.7483,0.8261,0.6561,+3.53%,第三梯队 (辅助正收益/单点增强)
50,F47 LumiFormer,F47_yolo11-seg-lumiformer_300ep,光照 Transformer,Neck/特征增强,引入光照自适应 Transformer 模块 (LumiFormer),2.864,10.61,300,1.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9183,0.7407,0.8209,0.6832,0.9067,0.7409,0.8230,0.6552,+3.44%,第三梯队 (辅助正收益/单点增强)
51,N07 Faster+HyperRes+HSF+P2B,20260821_07_faster_hyperres_hsf_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),Backbone/Neck/Head,Faster 骨干 + HyperRes 超残差 + HSF 层次融合 + P2 边界头,3.579,14.54,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9122,0.7474,0.8196,0.6746,0.9130,0.7506,0.8182,0.6547,+3.39%,第三梯队 (辅助正收益/单点增强)
52,F62 HSF,F62_yolo11-seg-hsf_300ep,层次尺度融合,Neck 尺度融合,引入层次尺度融合模块 (Hierarchical Scale Fusion),2.901,10.26,300,0.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9199,0.7445,0.8248,0.6781,0.9202,0.7417,0.8206,0.6532,+3.24%,第三梯队 (辅助正收益/单点增强)
53,F20 DFEM-P2P3,F20_yolo11-seg-dfem-p2p3_300ep,细节特征增强,P2/P3 双层,在 P2 与 P3 双位置同时部署 DFEM,2.877,10.87,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9051,0.7493,0.8218,0.6792,0.9101,0.7529,0.8247,0.6520,+3.12%,第三梯队 (辅助正收益/单点增强)
54,SXQNet-V5-Hyper,SXQNet-V5-hyper_300ep,SXQNet复合家族,超特征复合网络,超尺度多特征融合架构,2.678,12.52,300,1.6h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9212,0.7302,0.8168,0.6854,0.9175,0.7319,0.8141,0.6515,+3.07%,第三梯队 (辅助正收益/单点增强)
55,F49 TDAM,F49_yolo11-seg-tdam_300ep,拓扑解耦注意力,Neck 特征解耦,引入拓扑解耦注意力模块 (TDAM),2.910,11.77,300,1.7h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9150,0.7391,0.8137,0.6807,0.9163,0.7405,0.8180,0.6510,+3.03%,第三梯队 (辅助正收益/单点增强)
56,N02 MoCE+LSKA+CARAFE+P2B (Full策略),20260821_02_moce_lska_carafe_p2b_full_adamw_train_300ep_b16,新增探索组(N系列),训练策略消融,"N02 架构 + 开启 NWD, Copy-Paste, Dice, Boundary, Freq 复合损失",3.167,14.43,300,2.3h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Full策略",0.8992,0.7483,0.8194,0.6951,0.8947,0.7464,0.8177,0.6501,+2.93%,第三梯队 (辅助正收益/单点增强)
57,SXQNet-V7-Fast,SXQNet-V7-fast_300ep,SXQNet复合家族,快速轻量网络,快速推理轻量复合架构 (2.61M 参数),2.607,9.73,300,1.5h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8932,0.7321,0.8134,0.6696,0.8876,0.7464,0.8195,0.6495,+2.87%,第三梯队 (辅助正收益/单点增强)
58,F25 SPD+EMA,F25_yolo11-seg-spd-ema_300ep,双模块复合,下采样/注意力,组合 SPDConv 无损下采样与 EMA 多尺度注意力,4.281,13.96,300,1.6h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8881,0.7436,0.8163,0.6698,0.8932,0.7417,0.8141,0.6488,+2.80%,第三梯队 (辅助正收益/单点增强)
59,N04 MoCE+HCO+HSF+P2B,20260821_04_moce_hco_hsf_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),Backbone/SPPF/Neck/Head,MoCE 骨干 + HCO 混合上下文 + HSF 层次融合 + P2 边界头,3.389,14.31,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9134,0.7255,0.8155,0.6714,0.9161,0.7284,0.8207,0.6488,+2.80%,第三梯队 (辅助正收益/单点增强)
60,F28 DFEM+SPD,F28_yolo11-seg-dfem-spd_300ep,双模块复合,特征增强/下采样,组合细节特征增强 (DFEM) 与 SPDConv 下采样,4.307,14.14,300,1.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8971,0.7359,0.8127,0.6716,0.9039,0.7359,0.8132,0.6474,+2.66%,第三梯队 (辅助正收益/单点增强)
61,F44 Edge,F44_yolo11-seg-citrusfar-edge_300ep,边缘轻量网络,全网络轻量化,柑橘边缘端高效轻量化架构,2.149,11.52,300,1.1h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9099,0.7283,0.8137,0.6608,0.8949,0.7474,0.8169,0.6452,+2.44%,第三梯队 (辅助正收益/单点增强)
62,N09 HW+WT+LSKA+HSF+P2B,20260821_09_hw_wt_lska_hsf_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),全架构频域重构,Haar 下采样 + WT 骨干 + LSKA + HSF + P2 边界头,2.874,13.55,300,1.9h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9279,0.7117,0.8052,0.6604,0.9316,0.7146,0.8084,0.6444,+2.37%,第三梯队 (辅助正收益/单点增强)
63,F36 Full-no-DySample,F36_yolo11-seg-ours-no-dysample_300ep,多模块复合,全架构复合,多模块堆叠架构（去除 DySample 上采样）,4.585,14.36,300,1.2h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9160,0.7111,0.8142,0.6699,0.8915,0.7288,0.8086,0.6435,+2.27%,第三梯队 (辅助正收益/单点增强)
64,N10 MoCE+HW+BiFPN+Edge+P2B,20260821_10_moce_hw_bifpn_edge_p2b_baseline_adamw_train_300ep_b16,新增探索组(N系列),全架构轻量化,MoCE 骨干 + Haar 下采样 + BiFPN + Edge 极简头 + P2 边界头,2.613,13.21,300,1.8h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.9405,0.7087,0.8062,0.6721,0.9405,0.7087,0.8089,0.6433,+2.26%,第三梯队 (辅助正收益/单点增强)
65,F52 Edge-V2,F52_yolo11-seg-citrusfar-edge-v2_300ep,边缘轻量网络,全网络轻量化,边缘端轻量化网络迭代版 V2,2.166,15.05,300,1.5h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8903,0.7430,0.8256,0.6732,0.9037,0.7331,0.8214,0.6432,+2.25%,第三梯队 (辅助正收益/单点增强)
66,F51 LCE+TDAM,F51_yolo11-seg-lce-tdam_300ep,双模块复合,对比度/拓扑,组合局部对比度增强 (LCE) 与拓扑解耦注意力 (TDAM),2.914,14.59,300,2.0h,"ep:300, b:16, AdamW, lr:0.001, amp:0, Baseline策略",0.8832,0.7388,0.8174,0.6606,0.8821,0.7379,0.8181,0.6409,+2.01%,第三梯队 (辅助正收益/单点增强)
